feature_id,location,,feature_id,Age_Group,,feature_id,profession,,id,name,description,detailed_explanation,category,age_group,profession,location,,Profession,Count
55,Nationwide,,55,Adults,,55,"Entrepreneurs, Investors, Job Seekers, Small Business Owners",,55,SWAMIH Fund 2,A government fund designed to support the modernization and expansion of small and micro enterprises through targeted financial assistance and capacity building.,"{affects"": ""- Enhances access to finance for small and micro enterprises.\n- Drives technological and operational upgrades.\n- Creates employment opportunities and fosters economic growth.\n- Strengthens the competitiveness of domestic enterprises."""," ""explanation"": ""- Represents the second phase of the SWAMIH initiative for small enterprises.\n- Provides financial support for technology adoption and modernization.\n- Focuses on capacity building and market access improvement.\n- Implements transparent fund allocation processes as per official guidelines.""}""",Adults,"Entrepreneurs, Investors, Job Seekers, Small Business Owners",Nationwide,,,
56,Nationwide,,56,Adults,,56,"Job Seekers, Tourism Entrepreneurs",,56,Tourism for Employment-Led Growth,A government initiative aimed at developing tourism infrastructure and services to generate employment and spur local economic growth.,"{affects"": ""- Generates direct and indirect employment in tourism and hospitality.\n- Increases local economic activity through higher tourist inflows.\n- Provides training and skill development for the local workforce.\n- Enhances the cultural and tourism profile of the region."""," ""explanation"": ""- Focuses on enhancing tourism infrastructure and promoting local tourism initiatives.\n- Emphasizes skill development and capacity building in the tourism sector.\n- Promotes sustainable tourism practices in line with official policies.\n- Integrates tourism development with local economic growth strategies.""}""",Adults,"Job Seekers, Tourism Entrepreneurs",Nationwide,,,
57,Nationwide,,57,Adults,,57,"Entrepreneurs, Innovators, Researchers",,57,"Research, Development and Innovation",A comprehensive initiative aimed at strengthening the nation’s R&D and innovation ecosystem across sectors to drive technological and economic progress.,"{affects"": ""- Empowers researchers and innovators with advanced resources.\n- Accelerates commercialization of new technologies.\n- Boosts economic growth by fostering innovation-driven industries.\n- Enhances India’s competitiveness in global research."""," ""explanation"": ""- Encourages collaboration between academia",Adults,"Entrepreneurs, Innovators, Researchers",Nationwide,,,
58,Nationwide,,58,Adults,,58,"Investors, Technologists",,58,Deep Tech Fund of Funds,"A dedicated financial initiative designed to channel investments into deep technology startups that work on cutting-edge innovations in areas such as AI, quantum computing, and biotechnology.","{affects"": ""- Helps startups scale up and refine their innovations.\n- Attracts private sector participation in high-tech research.\n- Supports job creation in advanced technology sectors.\n- Enhances India’s reputation as a hub for deep technology innovation."""," ""explanation"": ""- Provides capital support to emerging deep tech ventures.\n- Encourages investments in breakthrough technological areas through a fund-of-funds model.\n- Facilitates technology transfer and commercialization processes.\n- Follows official guidelines to ensure transparent fund allocation.""}""",Adults,"Investors, Technologists",Nationwide,,,
59,Nationwide,,59,Adults,,59,Researchers,,59,PM Research Fellowship,"A fellowship program aimed at nurturing early-career researchers by providing financial assistance, mentorship, and the opportunity to work on high-impact research projects aligned with national priorities.","{affects"": ""- Enables emerging researchers to pursue ambitious projects.\n- Strengthens academic-industry collaborations.\n- Contributes to technological advancements and knowledge creation.\n- Enhances India’s global research standing."""," ""explanation"": ""- Offers financial grants and research support to promising young scientists.\n- Provides mentorship from leading experts across various fields.\n- Encourages innovative research projects that address national challenges.\n- Aligns with the government’s agenda for research-led development.""}""",Adults,Researchers,Nationwide,,,
60,Nationwide,,60,Adults,,60,"Farmers, Researchers",,60,Gene Bank for Crops Germplasm,"An initiative focused on preserving the genetic diversity of crops by cataloging and safeguarding germplasm, which is crucial for agricultural innovation and food security.","{affects"": ""- Provides farmers with access to diverse crop varieties that can lead to better yields and disease resistance.\n- Enables researchers to develop improved crops that can thrive in different environmental conditions.\n- Supports food security by ensuring a continuous supply of essential crop varieties.\n- Promotes sustainable agriculture through the preservation of important genetic resources."""," ""explanation"": ""- Works like a library for crop seeds and genetic material",Adults,"Farmers, Researchers",Nationwide,,,
61,Nationwide,,61,All Age Groups,,61,"Researchers, Technologists",,61,National Geospatial Mission,"A government initiative to create a comprehensive geospatial data infrastructure, supporting enhanced planning, governance, and innovation across various sectors.","{affects"": ""- Gives policymakers and planners the tools to make informed decisions about city planning and resource allocation.\n- Improves public safety by enabling faster and more coordinated responses during disasters.\n- Boosts innovation in technology", as accurate maps are essential for apps and services like navigation and location-based services.\n- Enhances overall governance by using reliable,All Age Groups,"Researchers, Technologists",Nationwide,,,
62,Nationwide,,62,"Children, Adults",,62,"Students, Teachers",,62,Gyan Bharatam Mission,"A mission aimed at promoting knowledge dissemination and digital literacy by fostering innovative learning solutions, ultimately contributing to a knowledge-based economy.","{affects"": ""- Empowers students and educators with modern digital tools.\n- Improves learning outcomes and academic performance.\n- Facilitates continuous skill enhancement and lifelong learning.\n- Contributes to building a competitive"," knowledge-driven economy.""","Children, Adults","Students, Teachers",Nationwide,,,
63,Nationwide,,63,Adults,,63,Exporters,,63,Export Promotion Mission,"A strategic initiative to boost India’s export performance through policy support, market access facilitation, and targeted incentives for export-oriented industries.","{affects"": ""- Increases export revenues and overall economic growth.\n- Enhances market access for SMEs and large exporters alike.\n- Creates job opportunities in export-oriented sectors.\n- Strengthens India’s trade balance by expanding global market outreach."""," ""explanation"": ""- Provides targeted incentives and financial support to exporters.\n- Focuses on diversifying export products and markets.\n- Encourages public-private partnerships for enhanced export promotion.\n- Aligns with government policies to strengthen India’s global trade presence.""}""",Adults,Exporters,Nationwide,,,
64,Nationwide,,64,Adults,,64,Exporters,,64,BharatTradeNet,"A digital trade platform initiative aimed at streamlining export procedures, providing real-time trade information, and facilitating seamless interactions between exporters and global buyers.","{affects"": ""- Reduces administrative burdens and streamlines export procedures.\n- Improves communication between exporters and international buyers.\n- Increases competitiveness through timely access to trade data.\n- Facilitates a more efficient and transparent export ecosystem."""," ""explanation"": ""- Serves as a one-stop online platform for export documentation and trade information.\n- Integrates compliance processes and regulatory guidelines into a single interface.\n- Enhances transparency and efficiency in export transactions.\n- Supports exporters by simplifying access to market intelligence and trade resources.""}""",Adults,Exporters,Nationwide,,,
65,Nationwide,,65,Adults,,65,Exporters,,65,National Framework for GCC,"A structured initiative to align India’s export standards with global best practices, ensuring quality, compliance, and competitiveness in international markets.","{affects"": ""- Increases trust in Indian products because they meet internationally recognized quality standards.\n- Opens up new markets for exporters", as buyers around the world feel more confident purchasing certified products.\n- Helps boost the reputation of Indian exports,Adults,Exporters,Nationwide,,,
66,Nationwide,,66,All Age Groups,,66,"General Public, Investors",,66,FDI in Insurance Sector,"A reform that allows more foreign direct investment in insurance companies, aiming to improve capital access, bring in global expertise, and enhance competition.","{affects"": ""- Insurance companies receive better access to capital.\n- Consumers benefit from improved and innovative insurance products.\n- Enhances the overall stability and growth of the insurance sector.\n- Supports a more robust financial environment."""," ""explanation"": ""- Increases the allowed level of foreign investment in insurance firms.\n- Brings global expertise and advanced technology.\n- Aims to boost competition and efficiency in the insurance market.\n- Follows guidelines set by finance and insurance regulators.""}""",All Age Groups,"General Public, Investors",Nationwide,,,
67,Nationwide,,67,Adults,,67,"Banks, Borrowers, Policy Makers",,67,Credit Enhancement Facility by NaBFID,"A support initiative by NaBFID designed to offer extra guarantees to banks, making it safer for them to lend money.","{affects"": ""- Banks can lend more confidently"," increasing access to credit for individuals and businesses.\n- Borrowers may benefit from easier access to loans and potentially lower interest rates.\n- Contributes to overall financial stability by reducing risks in the banking sector.\n- Makes the lending process safer and more efficient for everyone involved.""",Adults,"Banks, Borrowers, Policy Makers",Nationwide,,,
68,Nationwide,,68,Adults,,68,"Low-Income Individuals, Policy Makers, Rural Population",,68,Grameen Credit Score,A credit scoring system specially designed to assess the creditworthiness of rural and low-income individuals using alternative data sources.,"{affects"": ""- Helps rural and low-income individuals secure loans.\n- Promotes fairer and more transparent loan assessments.\n- Enhances financial inclusion in underserved areas.\n- Builds trust between banks and borrowers."""," ""explanation"": ""- Uses non-traditional data to generate a credit score for rural borrowers.\n- Aims to improve access to credit for low-income populations.\n- Follows official methods to fairly assess creditworthiness.\n- Supports government efforts to boost financial inclusion.""}""",Adults,"Low-Income Individuals, Policy Makers, Rural Population",Nationwide,,,
69,Nationwide,,69,"Adults, Senior Citizens",,69,"Policy Makers, Retirees, Working Population",,69,Pension Sector,"A series of reforms aimed at improving the pension system to provide secure, transparent, and adequate retirement benefits for citizens.","{affects"": ""- Provides a more secure retirement income for the working population.\n- Improves transparency in the management of pension funds.\n- Offers better benefits to pensioners.\n- Contributes to overall financial stability for retirees."""," ""explanation"": ""- Focuses on better management and expansion of pension schemes.\n- Seeks to ensure secure and sufficient retirement income for workers.\n- Enhances transparency in pension fund operations.\n- Adheres to guidelines from pension regulatory authorities.""}""","Adults, Senior Citizens","Policy Makers, Retirees, Working Population",Nationwide,,,
70,Nationwide,,70,Adults,,70,"Businesses, Investors, Policy Makers",,70,High Level Committee for Regulatory Reforms,A government committee set up to review and recommend improvements in regulatory policies to create a simpler and more business-friendly environment.,"{affects"": ""- Simplifies compliance for businesses and investors.\n- Boosts confidence in the regulatory environment.\n- Leads to more efficient business operations.\n- Supports overall economic growth by reducing administrative burdens."""," ""explanation"": ""- Reviews current regulatory rules and identifies areas for simplification.\n- Aims to reduce bureaucratic hurdles for businesses.\n- Provides clear",Adults,"Businesses, Investors, Policy Makers",Nationwide,,,
71,Nationwide,,71,Adults,,71,Investors,,71,Investment Friendliness Index of States,"An index that ranks states based on their ease of doing business, infrastructure quality, and regulatory environment, helping to guide investment decisions.","{affects"": ""- Guides investors toward states with better business conditions.\n- Encourages states to improve their investment climates.\n- Helps policymakers target necessary reforms.\n- Boosts healthy competition among states."""," ""explanation"": ""- Measures and compares states on ease of doing business and regulatory factors.\n- Evaluates infrastructure",Adults,Investors,Nationwide,,,
72,Nationwide,,72,Adults,,72,"Businesses, General Public",,72,Jan Vishwas Bill 2.0,"A new law aimed at making it easier for people and businesses to follow government rules on taxes and other regulations, reducing the burden of paperwork and cost.","{affects"": ""- Reduces the hassle and cost for businesses and individuals in dealing with government rules.\n- Makes it easier for everyone to understand and meet their tax and legal obligations.\n- Builds greater trust in how government rules are enforced.\n- Creates a more user-friendly environment for all citizens."""," ""explanation"": ""- This law makes it simpler for everyone to follow government rules (called compliance) when paying taxes and meeting other legal requirements.\n- It cuts down on the paperwork and costs that people and businesses usually face.\n- The law is designed to build trust by making the whole process clear and straightforward.\n- It is based on updated official guidelines to ensure that following government rules is less confusing and less expensive.""}""",Adults,"Businesses, General Public",Nationwide,,,
